PART NUMBER,DESCRIPTION,BLP NGN,MARKETING CODE,CALCULATION FACTOR,WEIGHT,VOLUME
A2044400638,ELECTRICAL WIRING HARNESS,14316,1PV541,2.25,0.028,0.0064
A2044400639,ELECTRICAL WIRING HARNESS,178338,1PV541,2.25,2.277,0.09984
A2044400706,ELECTRICAL WIRING HARNESS,54030,1PV541,2.25,0.482,0.02625
A2044400734,ELECTRICAL WIRING HARNESS,22290,1PV541,2.25,0,0
A2044400735,ELECTRICAL WIRING HARNESS,9660,1PV541,2.25,0.136,0.00882
A2044400737,ELECTRICAL WIRING HARNESS,44766,1PV541,2.25,0.628,0.02392
A2044400739,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0,0
A2044400740,ELECTRICAL WIRING HARNESS,20976,1PV541,2.25,0.495,0.02875
A2044400741,ELECTRICAL WIRING HARNESS,21738,1PV541,2.25,0.156,0.0132
A2044400750,ELECTRICAL WIRING HARNESS,77724,1PV541,2.25,1.582,0.14976
A2044400753,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0,0
A2044400806,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0,0
A2044400835,ELECTRICAL WIRING HARNESS,9660,1PV541,2.25,0.121,0.01296
A2044400837,ELECTRICAL WIRING HARNESS,44766,1PV541,2.25,0.63,0
A2044400839,ELECTRICAL WIRING HARNESS,80568,1PV541,2.25,0.707,0.0558
A2044400840,ELECTRICAL WIRING HARNESS,20976,1PV541,2.25,0,0
A2044400841,ELECTRICAL WIRING HARNESS,21738,1PV541,2.25,0.16,0.0192
A2044400850,ELECTRICAL WIRING HARNESS,66402,1PV541,2.25,1.755,0.2415
A2044400853,ELECTRICAL WIRING HARNESS,32100,1PV541,2.25,0,0
A2044400854,ELECTRICAL WIRING HARNESS,80742,1PV541,2.25,0.557,0.0338
A2044400906,ELECTRICAL WIRING HARNESS,51528,1PV541,2.25,0.473,0.0264
A2044400935,ELECTRICAL WIRING HARNESS,9660,1PV541,2.25,0.132,0.01944
A2044400936,ELECTRICAL WIRING HARNESS,62502,1PV541,2.25,0.136,0.0338
A2044400950,ELECTRICAL WIRING HARNESS,98124,1PV541,2.25,1.748,0.1152
A2044400953,ELECTRICAL WIRING HARNESS,39120,1PV541,2.25,0.6,0.02523
A2044400954,ELECTRICAL WIRING HARNESS,126816,1PV541,2.25,0.752,0.0338
A2044401005,WIRING HARNESS,31812,1PV541,2.25,0.351,0.07616
A2044401006,ELECTRICAL WIRING HARNESS,54924,1PV541,2.25,0.683,0.03648
A2044401008,ELECTRICAL WIRING HARNESS,83160,1PV541,2.25,1.22,0.0588
A2044401013,ELECTRICAL WIRING HARNESS,16554,1PV541,2.25,0.072,0.01445
A2044401035,ELECTRICAL WIRING HARNESS,9660,1PV541,2.25,0.12,0.0081
A2044401036,ELECTRICAL WIRING HARNESS,18162,1PV541,2.25,0.073,0.0152
A2044401050,ELECTRICAL WIRING HARNESS,81582,1PV541,2.25,1.764,0.144
A2044401051,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0,0
A2044401052,ELECTRICAL WIRING HARNESS,69828,1PV541,2.25,0.018,0.0004725
A204440105264,ELECTRICAL WIRING HARNESS,91896,1PV541,2.25,0.015,0.0004725
A2044401053,ELECTRICAL WIRING HARNESS,34116,1PV541,2.25,0,0
A2044401054,ELECTRICAL WIRING HARNESS,39384,1PV541,2.25,0.238,0.008
A2044401106,ELECTRICAL WIRING HARNESS,89700,1PV541,2.25,1.243,0.09646
A2044401108,ELECTRICAL WIRING HARNESS,83160,1PV541,2.25,0,0
A2044401135,ELECTRICAL WIRING HARNESS,38358,1PV541,2.25,0.454,0.02592
A2044401136,ELECTRICAL WIRING HARNESS,18162,1PV541,2.25,0.047,0.01536
A2044401150,ELECTRICAL WIRING HARNESS,98124,1PV541,2.25,1.881,0.11544
A2044401151,ELECTRICAL WIRING HARNESS,17202,1PV541,2.25,0.09,0.0144
A2044401152,ELECTRICAL WIRING HARNESS,35160,1PV541,2.25,0,0
A2044401154,ELECTRICAL WIRING HARNESS,39384,1PV541,2.25,0.222,0.008
A2044401235,ELECTRICAL WIRING HARNESS,38358,1PV541,2.25,0.484,0.0288
A2044401236,ELECTRICAL WIRING HARNESS,18162,1PV541,2.25,0.01,0.00128
A2044401238,ELECTRICAL WIRING HARNESS,25050,1PV541,2.25,0.08,0.012
A2044401250,ELECTRICAL WIRING HARNESS,56160,1PV541,2.25,1.951,0.13448
A2044401251,ELECTRICAL WIRING HARNESS,4320,1PV541,2.25,0.029,0.00578
A2044401254,ELECTRICAL WIRING HARNESS,39384,1PV541,2.25,0.248,0.008
A2044401335,ELECTRICAL WIRING HARNESS,53082,1PV541,2.25,0.59,0.02592
A2044401338,ELECTRICAL WIRING HARNESS,25050,1PV541,2.25,0.07,0.012
A2044401350,ELECTRICAL WIRING HARNESS,106068,1PV541,2.25,2.28,0.30303
A2044401353,ELECTRICAL WIRING HARNESS,61788,1PV541,2.25,0.188,0.01587
A2044401354,ELECTRICAL WIRING HARNESS,39384,1PV541,2.25,0.248,0.008
A2044401405,WIRING HARNESS,35622,1PV541,2.25,0.447,0.0448
A2044401432,ELECTRICAL WIRING HARNESS,140346,1PV541,2.25,1.962,0.2652
A2044401435,ELECTRICAL WIRING HARNESS,53082,1PV541,2.25,0.667,0.03335
A2044401436,ELECTRICAL WIRING HARNESS,83700,1PV541,2.25,3.591,0.30324
A2044401441,ELECTRICAL WIRING HARNESS,34518,1PV541,2.25,0.15,0.00896
A2044401450,ELECTRICAL WIRING HARNESS,54396,1PV541,2.25,2.229,0.23161
A2044401453,ELECTRICAL WIRING HARNESS,61788,1PV541,2.25,0.304,0.02645
